Hour,5_yr_Rain_mm,10_yr_Rain_mm,20_yr_Rain_mm,50_yr_Rain_mm
1,1.4930028367795813,1.7556498083559262,2.007587089264561,2.333694057131467
2,1.56415738586049,1.8393217662250976,2.1032660461682298,2.4449148426767806
3,1.6465650002508028,1.9362264129191828,2.2140765943008347,2.573725153834573
4,1.7435442498063054,2.050266116463135,2.3444810949072377,2.725312205632079
5,1.8599687891735428,2.1871718980146966,2.501032975686911,2.9072939466793173
6,2.003350705229508,2.3557773602711194,2.6938334690395465,3.1314124259995992
7,2.186017494825826,2.5705786360942184,2.9394589155537574,3.4169365997082792
8,2.429985620645745,2.8574652934997715,3.267514058867903,3.798280125205892
9,2.779651434433987,3.268643828357831,3.7376970726072756,4.344838384518923
10,3.3434293734998484,3.931600794207448,4.495788942092382,5.2260726283719094
11,4.5015270297759855,5.293429370959728,6.053041109049094,7.036280587426518
12,14.162994104114887,16.65452822465493,19.044467571195188,22.1379989091344
13,5.866504241734567,6.898531465577573,7.888476756163641,9.169859391964248
14,3.794962832604334,4.462567388117627,5.102949705982454,5.931858929743633
15,3.02269120339842,3.554438813667872,4.064503887926719,4.724730807029189
16,2.5872364721368797,3.0423794949219953,3.478963609700905,4.044076964008475
17,2.298337544194318,2.702657871505238,3.0904916366061315,3.5925026637844724
18,2.088713399886082,2.456156940820229,2.8086176070703956,3.264841786154392
19,1.9276700520168646,2.2667830723596296,2.592068423083873,3.013116943706251
20,1.7989361187887525,2.115402445589808,2.4189645441545764,2.811894543102099
21,1.69297437128251,1.9908000556146561,2.2764816023885004,2.6462670611262666
22,1.6037751256600785,1.8859090034179218,2.1565385925881912,2.5068408361509
23,1.5273382029070461,1.7960254040858814,2.053756618246396,2.3873632383996863
24,1.4608839812497223,1.7178806486688387,1.964398022174251,2.2834894758504447
