Init_Store,C,T(yr),Peak Inflow(m3/s),Peak Spill(m3/s),Time to Spill(hr),Spill Duration(hr),Total Spill Vol(m3),Mass Error(m3)
70%,0.4,5,119.33,71.32,13.42,10.58,1557532.42,-0.0
70%,0.4,10,139.97,90.78,12.75,11.25,2189953.47,-0.0
70%,0.4,20,159.77,109.14,12.17,11.83,2830127.84,-0.0
70%,0.4,50,185.4,132.55,11.67,12.33,3694854.5,-0.0
70%,0.5,5,148.66,98.87,12.5,11.5,2467518.4,0.0
70%,0.5,10,174.46,122.61,11.92,12.08,3321610.89,-0.0
70%,0.5,20,199.21,145.03,11.33,12.67,4174405.07,-0.0
70%,0.5,50,231.24,173.65,10.67,13.33,5315111.89,-0.0
70%,0.6,5,177.99,125.83,11.83,12.17,3441520.49,-0.0
70%,0.6,10,208.95,153.78,11.17,12.83,4517428.32,-0.0
70%,0.6,20,238.65,180.21,10.58,13.42,5583793.96,0.0
70%,0.6,50,277.09,214.74,9.83,14.17,7002312.42,0.0
90%,0.4,5,119.33,85.62,8.5,15.5,2674183.88,0.0
90%,0.4,10,139.97,103.28,7.83,16.17,3362360.47,-0.0
90%,0.4,20,159.77,120.2,7.33,16.67,4042115.58,-0.0
90%,0.4,50,185.4,142.23,6.83,17.17,4945061.65,0.0
90%,0.5,5,148.66,110.71,7.58,16.42,3658646.8,0.0
90%,0.5,10,174.46,132.74,7.0,17.0,4556953.78,0.0
90%,0.5,20,199.21,154.29,6.58,17.42,5440922.64,-0.0
90%,0.5,50,231.24,182.24,6.08,17.92,6611356.6,0.0
90%,0.6,5,177.99,135.76,7.0,17.0,4681875.54,0.0
90%,0.6,10,208.95,162.79,6.42,17.58,5794055.93,-0.0
90%,0.6,20,238.65,188.7,6.0,18.0,6885647.06,0.0
90%,0.6,50,277.09,222.88,5.58,18.42,8327757.59,0.0
